Country Name,Actual 2020,Predicted 2020
Ouzbékistan,1.03,9.050272
Îles Féroé,5.33,13.190485
Antigua-et-Barbuda,0.74,3.4321756
Polynésie française,8.13,10.953857
Bénin,46.2,39.459026
Tchad,73.55,64.75872
Bermudes,0.95,5.205503
Seychelles,1.34,5.922729
Népal,74.54,73.51737
Saint-Martin (fr),29.722350230414747,21.079975
Uruguay,61.09,49.546497
Bahreïn,0.0,6.2722425
Iraq,1.08,6.6847134
Sénégal,38.64,32.08246
Rwanda,81.7,77.757
Malte,9.18,9.80398
Malaisie,5.84,9.416415
Brunéi Darussalam,0.01,9.323345
Samoa,37.54,37.508347
Serbie,26.01,20.050463
Saint-Kitts-et-Nevis,1.36,6.5572276
Palaos,0.87,11.33247
Timor-Leste,11.42,21.268316
Sierra Leone,75.07,67.31388
Région administrative spéciale de Macao,29.722350230414747,15.736302
Bulgarie,21.08,20.82827
Namibie,31.3,22.847029
Jordanie,11.04,8.398977
Kenya,72.5,64.47109
Guam,3.61,13.658764
République arabe syrienne,1.08,6.418971
Espagne,19.35,16.96496
Liechtenstein,55.21,50.93038
Cuba,23.93,16.994967
Burkina Faso,67.51,64.65614
Maroc,10.92,7.0385995
Panama,28.43,16.5917
Sri Lanka,49.32,40.875713
Groenland,11.46,20.200615
Maurice,9.41,13.013285
Inde,35.82,24.577816
Eswatini,66.01,60.50124
Mauritanie,23.78,19.957315
Ghana,40.25,37.461254
République démocratique populaire lao,49.91,44.108486
République démocratique populaire lao,49.91,44.108486
Nigéria,82.51,75.34586
